epoch,errors,train_accuracy,val_accuracy
1,21,0.9773869346733668,0.9764705882352941
2,16,0.9798994974874372,0.9647058823529412
3,13,0.9773869346733668,0.9882352941176471
4,13,0.9723618090452262,0.9882352941176471
5,11,0.949748743718593,0.9529411764705882
6,17,0.9773869346733668,0.9764705882352941
7,11,0.9798994974874372,0.9764705882352941
8,9,0.9874371859296482,0.9764705882352941
9,11,0.9773869346733668,0.9764705882352941
10,8,0.9798994974874372,0.9647058823529412
11,10,0.9723618090452262,0.9647058823529412
12,15,0.9698492462311558,0.9882352941176471
13,8,0.9824120603015075,0.9764705882352941
14,9,0.9849246231155779,0.9882352941176471
15,15,0.9849246231155779,0.9764705882352941
16,7,0.9723618090452262,0.9764705882352941
17,18,0.9824120603015075,0.9882352941176471
18,9,0.9798994974874372,0.9882352941176471
19,9,0.9849246231155779,0.9764705882352941
20,8,0.9899497487437185,0.9882352941176471
21,6,0.9849246231155779,0.9882352941176471
22,8,0.9874371859296482,0.9882352941176471
23,12,0.9698492462311558,0.9764705882352941
24,9,0.992462311557789,0.9764705882352941
25,6,0.9773869346733668,0.9882352941176471
26,11,0.9824120603015075,0.9764705882352941
27,9,0.9748743718592965,0.9647058823529412
28,9,0.9899497487437185,0.9882352941176471
29,9,0.9748743718592965,0.9647058823529412
30,10,0.9824120603015075,0.9647058823529412
31,9,0.9874371859296482,0.9647058823529412
32,5,0.964824120603015,0.9647058823529412
33,12,0.9798994974874372,0.9647058823529412
34,11,0.9773869346733668,0.9764705882352941
35,6,0.9849246231155779,0.9764705882352941
36,9,0.9899497487437185,0.9764705882352941
37,8,0.9748743718592965,0.9647058823529412
38,10,0.9874371859296482,0.9647058823529412
39,8,0.964824120603015,0.9764705882352941
40,11,0.949748743718593,0.9647058823529412
41,12,0.9798994974874372,0.9882352941176471
42,8,0.9849246231155779,0.9882352941176471
43,9,0.9748743718592965,0.9529411764705882
44,9,0.9798994974874372,0.9764705882352941
45,12,0.9773869346733668,0.9529411764705882
46,6,0.9849246231155779,0.9882352941176471
47,9,0.9824120603015075,0.9882352941176471
48,11,0.9899497487437185,0.9764705882352941
49,11,0.9899497487437185,0.9764705882352941
50,6,0.9748743718592965,0.9882352941176471
